date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:14:50	310/310	---MC-	302	error ('Found')	text/html	date:Sun,%2015%20Nov%202020%2020:14:49%20GMT	https://www.craftrise.com.tr/robots.txt		(from )
23:14:50	14122/14122	---MCZ	200	added ('OK')	text/html	date:Sun,%2015%20Nov%202020%2020:14:49%20GMT	https://www.craftrise.com.tr/	C:/Users/tahal/Desktop/yasak/asdbasd/www.craftrise.com.tr/index.html	(from )
23:14:50	70117/70117	---M-Z	200	added ('OK')	text/css	etag:%22111e5-591a65c27f402-gzip%22	https://www.craftrise.com.tr/css/all.css	C:/Users/tahal/Desktop/yasak/asdbasd/www.craftrise.com.tr/css/all.css	(from https://www.craftrise.com.tr/)
23:14:50	191922/191922	---M-Z	200	added ('OK')	text/css	etag:%222edb2-592d442e11a37-gzip%22	https://www.craftrise.com.tr/css/bootstrap.min.css	C:/Users/tahal/Desktop/yasak/asdbasd/www.craftrise.com.tr/css/bootstrap.min.css	(from https://www.craftrise.com.tr/)
23:14:51	19284/19284	---M-Z	200	added ('OK')	text/css	etag:%224b54-592ece4655fee-gzip%22	https://www.craftrise.com.tr/css/pretty-checkbox.css	C:/Users/tahal/Desktop/yasak/asdbasd/www.craftrise.com.tr/css/pretty-checkbox.css	(from https://www.craftrise.com.tr/)
23:14:51	37956/37956	---M-Z	200	added ('OK')	text/css	etag:%229444-5b3766fc57b8a-gzip%22	https://www.craftrise.com.tr/css/style.css	C:/Users/tahal/Desktop/yasak/asdbasd/www.craftrise.com.tr/css/style.css	(from https://www.craftrise.com.tr/)
23:14:51	21488/21488	---M-Z	200	added ('OK')	text/css	etag:%2253f0-591598035785c-gzip%22	https://www.craftrise.com.tr/css/swiper.css	C:/Users/tahal/Desktop/yasak/asdbasd/www.craftrise.com.tr/css/swiper.css	(from https://www.craftrise.com.tr/)
23:14:51	698/698	---M--	200	added ('OK')	image/png	etag:%222ba-591597e29a35f%22	https://www.craftrise.com.tr/images/icons/favicon.png	C:/Users/tahal/Desktop/yasak/asdbasd/www.craftrise.com.tr/images/icons/favicon.png	(from https://www.craftrise.com.tr/)
23:14:52	204/204	---MCZ	200	added ('OK')	application/json	etag:W/%22cc-59c808820df30%22	https://www.craftrise.com.tr/manifest.json	C:/Users/tahal/Desktop/yasak/asdbasd/www.craftrise.com.tr/manifest.json	(from https://www.craftrise.com.tr/)
23:14:52	8676/8676	---MCZ	200	added ('OK')	application/javascript	etag:W/%22af07e3bccd7885748057bb532c526ac5%22	https://cdn.onesignal.com/sdks/OneSignalSDK.js	C:/Users/tahal/Desktop/yasak/asdbasd/cdn.onesignal.com/sdks/OneSignalSDK.js	(from https://www.craftrise.com.tr/)
23:14:53	14122/14122	---MCZ	200	added ('OK')	text/html	date:Sun,%2015%20Nov%202020%2020:14:52%20GMT	https://www.craftrise.com.tr/anasayfa	C:/Users/tahal/Desktop/yasak/asdbasd/www.craftrise.com.tr/anasayfa.html	(from https://www.craftrise.com.tr/)
23:14:53	10409/10409	---M--	200	added ('OK')	image/png	etag:%2228a9-591597e3bc43f%22	https://www.craftrise.com.tr/images/main/raccoonHead.png	C:/Users/tahal/Desktop/yasak/asdbasd/www.craftrise.com.tr/images/main/raccoonHead.png	(from https://www.craftrise.com.tr/)
23:14:53	16422/16422	---MCZ	200	added ('OK')	text/html	date:Sun,%2015%20Nov%202020%2020:14:53%20GMT	https://www.craftrise.com.tr/market	C:/Users/tahal/Desktop/yasak/asdbasd/www.craftrise.com.tr/market.html	(from https://www.craftrise.com.tr/)
23:14:54	1854/1854	---MC-	302	error ('Found')	text/html	date:Sun,%2015%20Nov%202020%2020:14:53%20GMT	https://www.craftrise.com.tr/destek	C:/Users/tahal/Desktop/yasak/asdbasd/www.craftrise.com.tr/destek	(from https://www.craftrise.com.tr/)
23:14:54	14325/14325	---MCZ	200	added ('OK')	text/html	date:Sun,%2015%20Nov%202020%2020:14:54%20GMT	https://www.craftrise.com.tr/kurallar	C:/Users/tahal/Desktop/yasak/asdbasd/www.craftrise.com.tr/kurallar.html	(from https://www.craftrise.com.tr/)
23:14:55	9702/9702	---MCZ	200	added ('OK')	text/html	date:Sun,%2015%20Nov%202020%2020:14:54%20GMT	https://www.craftrise.com.tr/siralama	C:/Users/tahal/Desktop/yasak/asdbasd/www.craftrise.com.tr/siralama.html	(from https://www.craftrise.com.tr/)
23:14:55	8512/8512	---MCZ	200	added ('OK')	text/html	date:Sun,%2015%20Nov%202020%2020:14:55%20GMT	https://www.craftrise.com.tr/oyna	C:/Users/tahal/Desktop/yasak/asdbasd/www.craftrise.com.tr/oyna.html	(from https://www.craftrise.com.tr/)
23:14:56	256231/256231	---M--	200	added ('OK')	image/png	etag:%223e8e7-5a784d4c11d4c%22	https://www.craftrise.com.tr/images/swiper/update2.png	C:/Users/tahal/Desktop/yasak/asdbasd/www.craftrise.com.tr/images/swiper/update2.png	(from https://www.craftrise.com.tr/)
23:14:56	615234/615234	---M--	200	added ('OK')	image/png	etag:%2296342-5a784e02066ff%22	https://www.craftrise.com.tr/images/swiper/update1.png	C:/Users/tahal/Desktop/yasak/asdbasd/www.craftrise.com.tr/images/swiper/update1.png	(from https://www.craftrise.com.tr/)
23:14:57	76174/76174	---M--	200	added ('OK')	image/jpeg	etag:%221298e-5b3b449c0a71e%22	https://www.craftrise.com.tr/images/news/a7a9eb3ca60d16651de0a10b899e1f69.jpg	C:/Users/tahal/Desktop/yasak/asdbasd/www.craftrise.com.tr/images/news/a7a9eb3ca60d16651de0a10b899e1f69.jpg	(from https://www.craftrise.com.tr/)
23:14:57	10988/10988	---MCZ	200	added ('OK')	text/html	date:Sun,%2015%20Nov%202020%2020:14:56%20GMT	https://www.craftrise.com.tr/haber/179	C:/Users/tahal/Desktop/yasak/asdbasd/www.craftrise.com.tr/haber/179.html	(from https://www.craftrise.com.tr/)
23:14:57	436324/436324	---M--	200	added ('OK')	image/png	etag:%226a864-5a784d4e07cfa%22	https://www.craftrise.com.tr/images/swiper/update3.png	C:/Users/tahal/Desktop/yasak/asdbasd/www.craftrise.com.tr/images/swiper/update3.png	(from https://www.craftrise.com.tr/)
